,,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Identyfikator punktu,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.123836,53.132844,1000013,T,Jednorodzinna,zmieszane,120,18014398708580350,4000000BDDFFFE,4000000BDDFFFE
23.124587,53.132907,1000014,T,Jednorodzinna,SUCHE,worek,,,
23.124587,53.132907,1000014,T,Jednorodzinna,gabaryty,kontener,,,
23.124587,53.132907,1000014,T,Jednorodzinna,popiół,worek,,,
23.124587,53.132907,1000014,T,Jednorodzinna,szkło,worek,,,
23.124587,53.132907,1000014,T,Jednorodzinna,zielone,worek,,,
23.124587,53.132907,1000014,T,Jednorodzinna,zmieszane,120,18014398708581894,4000000BDE0606,4000000BDE0606
23.124587,53.132862,1000015,T,Jednorodzinna,SUCHE,worek,,,
23.124587,53.132862,1000015,T,Jednorodzinna,gabaryty,kontener,,,
23.124587,53.132862,1000015,T,Jednorodzinna,popiół,worek,,,
23.124587,53.132862,1000015,T,Jednorodzinna,szkło,worek,,,
23.124587,53.132862,1000015,T,Jednorodzinna,zielone,worek,,,
23.124587,53.132862,1000015,T,Jednorodzinna,zmieszane,120,18014398708575801,4000000BDDEE39,4000000BDDEE39
23.124471,53.132871,1000016,T,Jednorodzinna,SUCHE,worek,,,
23.124471,53.132871,1000016,T,Jednorodzinna,gabaryty,kontener,,,
23.124471,53.132871,1000016,T,Jednorodzinna,popiół,worek,,,
23.124471,53.132871,1000016,T,Jednorodzinna,szkło,worek,,,
23.124471,53.132871,1000016,T,Jednorodzinna,zielone,worek,,,
23.124471,53.132871,1000016,T,Jednorodzinna,zmieszane,120,18014398708582338,4000000BDE07C2,4000000BDE07C2
23.124471,53.132871,1000017,T,Jednorodzinna,SUCHE,worek,,,
23.124471,53.132871,1000017,T,Jednorodzinna,gabaryty,kontener,,,
23.124471,53.132871,1000017,T,Jednorodzinna,popiół,worek,,,
23.124471,53.132871,1000017,T,Jednorodzinna,szkło,worek,,,
23.124471,53.132871,1000017,T,Jednorodzinna,zielone,worek,,,
23.124471,53.132871,1000017,T,Jednorodzinna,zmieszane,120,18014398708575266,4000000BDDEC22,4000000BDDEC22
23.123951,53.132529,1000018,T,Jednorodzinna,SUCHE,worek,,,
23.123951,53.132529,1000018,T,Jednorodzinna,gabaryty,kontener,,,
23.123951,53.132529,1000018,T,Jednorodzinna,popiół,worek,,,
23.123951,53.132529,1000018,T,Jednorodzinna,szkło,worek,,,
23.123951,53.132529,1000018,T,Jednorodzinna,zielone,worek,,,
23.123951,53.132529,1000018,T,Jednorodzinna,zmieszane,120,18014398708574281,4000000BDDE849,4000000BDDE849
23.123773,53.132413,1000019,T,Jednorodzinna,SUCHE,worek,,,
23.123773,53.132413,1000019,T,Jednorodzinna,gabaryty,kontener,,,
23.123773,53.132413,1000019,T,Jednorodzinna,popiół,worek,,,
23.123773,53.132413,1000019,T,Jednorodzinna,szkło,worek,,,
23.123773,53.132413,1000019,T,Jednorodzinna,zielone,worek,,,
23.123773,53.132413,1000019,T,Jednorodzinna,zmieszane,120,18014398708580438,4000000BDE0056,4000000BDE0056
23.12284,53.131844,1000020,T,Jednorodzinna,SUCHE,worek,,,
23.12284,53.131844,1000020,T,Jednorodzinna,gabaryty,kontener,,,
23.12284,53.131844,1000020,T,Jednorodzinna,popiół,worek,,,
23.12284,53.131844,1000020,T,Jednorodzinna,szkło,worek,,,
23.12284,53.131844,1000020,T,Jednorodzinna,zielone,worek,,,
23.12284,53.131844,1000020,T,Jednorodzinna,zmieszane,120,18014398708575350,4000000BDDEC76,4000000BDDEC76
23.122613,53.13172,1000021,T,Jednorodzinna,SUCHE,worek,,,
23.122613,53.13172,1000021,T,Jednorodzinna,gabaryty,kontener,,,
23.122613,53.13172,1000021,T,Jednorodzinna,popiół,worek,,,
23.122613,53.13172,1000021,T,Jednorodzinna,szkło,worek,,,
23.122613,53.13172,1000021,T,Jednorodzinna,zielone,worek,,,
23.122613,53.13172,1000021,T,Jednorodzinna,zmieszane,240,18014398708601439,4000000BDE525F,4000000BDE525F
23.124582,53.132858,1000022,T,Jednorodzinna,SUCHE,worek,,,
23.124582,53.132858,1000022,T,Jednorodzinna,gabaryty,kontener,,,
23.124582,53.132858,1000022,T,Jednorodzinna,popiół,worek,,,
23.124582,53.132858,1000022,T,Jednorodzinna,szkło,worek,,,
23.124582,53.132858,1000022,T,Jednorodzinna,zielone,worek,,,
23.124582,53.132858,1000022,T,Jednorodzinna,zmieszane,240,18014398708578150,4000000BDDF766,4000000BDDF766
23.125938,53.133858,1000023,T,Jednorodzinna,SUCHE,worek,,,
23.125938,53.133858,1000023,T,Jednorodzinna,gabaryty,kontener,,,
23.125938,53.133858,1000023,T,Jednorodzinna,popiół,worek,,,
23.125938,53.133858,1000023,T,Jednorodzinna,szkło,worek,,,
23.125938,53.133858,1000023,T,Jednorodzinna,zielone,worek,,,
23.125938,53.133858,1000023,T,Jednorodzinna,zmieszane,120,18014398708597321,4000000BDE4249,4000000BDE4249
23.124147,53.134973,1000024,T,Jednorodzinna,SUCHE,worek,,,
23.124147,53.134973,1000024,T,Jednorodzinna,gabaryty,kontener,,,
23.124147,53.134973,1000024,T,Jednorodzinna,popiół,worek,,,
23.124147,53.134973,1000024,T,Jednorodzinna,szkło,worek,,,
