,,,,,,,,
Długość geograficzna,Szerokość geograficzna,Deklaracja segregacji,Typ nieruchomości,Typ odpadu,Typ pojemnika,Identyfikator transpondera (DEC),Identyfikator transpondera (HEX),Nr pojemnika
23.126187,53.133978,T,Jednorodzinna,popiół,worek,,,
23.126187,53.133978,T,Jednorodzinna,szkło,worek,,,
23.126187,53.133978,T,Jednorodzinna,zielone,worek,,,
23.126187,53.133978,T,Jednorodzinna,zmieszane,120,18014398708575801,4000000BDDEE39,4000000BDDEE39
23.124471,53.132871,T,Jednorodzinna,SUCHE,worek,,,
23.124471,53.132871,T,Jednorodzinna,gabaryty,kontener,,,
23.124471,53.132871,T,Jednorodzinna,popiół,worek,,,
23.124471,53.132871,T,Jednorodzinna,szkło,worek,,,
23.124471,53.132871,T,Jednorodzinna,zielone,worek,,,
23.124471,53.132871,T,Jednorodzinna,zmieszane,120,18014398708582338,4000000BDE07C2,4000000BDE07C2
23.124471,53.132871,T,Jednorodzinna,SUCHE,worek,,,
23.124471,53.132871,T,Jednorodzinna,gabaryty,kontener,,,
23.124471,53.132871,T,Jednorodzinna,popiół,worek,,,
23.124471,53.132871,T,Jednorodzinna,szkło,worek,,,
23.124471,53.132871,T,Jednorodzinna,zielone,worek,,,
23.124471,53.132871,T,Jednorodzinna,zmieszane,120,18014398708575266,4000000BDDEC22,4000000BDDEC22
23.123951,53.132529,T,Jednorodzinna,SUCHE,worek,,,
23.123951,53.132529,T,Jednorodzinna,gabaryty,kontener,,,
23.123951,53.132529,T,Jednorodzinna,popiół,worek,,,
23.123951,53.132529,T,Jednorodzinna,szkło,worek,,,
23.123951,53.132529,T,Jednorodzinna,zielone,worek,,,
23.123951,53.132529,T,Jednorodzinna,zmieszane,120,18014398708574281,4000000BDDE849,4000000BDDE849
23.123773,53.132413,T,Jednorodzinna,SUCHE,worek,,,
23.123773,53.132413,T,Jednorodzinna,gabaryty,kontener,,,
23.123773,53.132413,T,Jednorodzinna,popiół,worek,,,
23.123773,53.132413,T,Jednorodzinna,szkło,worek,,,
23.123773,53.132413,T,Jednorodzinna,zielone,worek,,,
23.123773,53.132413,T,Jednorodzinna,zmieszane,120,18014398708580438,4000000BDE0056,4000000BDE0056
23.12284,53.131844,T,Jednorodzinna,SUCHE,worek,,,
23.12284,53.131844,T,Jednorodzinna,gabaryty,kontener,,,
23.12284,53.131844,T,Jednorodzinna,popiół,worek,,,
23.12284,53.131844,T,Jednorodzinna,szkło,worek,,,
23.12284,53.131844,T,Jednorodzinna,zielone,worek,,,
23.12284,53.131844,T,Jednorodzinna,zmieszane,120,18014398708575350,4000000BDDEC76,4000000BDDEC76
23.122613,53.13172,T,Jednorodzinna,SUCHE,worek,,,
23.122613,53.13172,T,Jednorodzinna,gabaryty,kontener,,,
23.122613,53.13172,T,Jednorodzinna,popiół,worek,,,
23.122613,53.13172,T,Jednorodzinna,szkło,worek,,,
23.122613,53.13172,T,Jednorodzinna,zielone,worek,,,
23.122613,53.13172,T,Jednorodzinna,zmieszane,240,18014398708601439,4000000BDE525F,4000000BDE525F
23.124582,53.132858,T,Jednorodzinna,SUCHE,worek,,,
23.124582,53.132858,T,Jednorodzinna,gabaryty,kontener,,,
23.124582,53.132858,T,Jednorodzinna,popiół,worek,,,
23.124582,53.132858,T,Jednorodzinna,szkło,worek,,,
23.124582,53.132858,T,Jednorodzinna,zielone,worek,,,
23.124582,53.132858,T,Jednorodzinna,zmieszane,240,18014398708578150,4000000BDDF766,4000000BDDF766
23.125978,53.133898,T,Jednorodzinna,SUCHE,worek,,,
23.125978,53.133898,T,Jednorodzinna,gabaryty,kontener,,,
23.125978,53.133898,T,Jednorodzinna,popiół,worek,,,
23.125978,53.133898,T,Jednorodzinna,szkło,worek,,,
23.125978,53.133898,T,Jednorodzinna,zielone,worek,,,
23.125978,53.133898,T,Jednorodzinna,zmieszane,120,18014398708597321,4000000BDE4249,4000000BDE4249
23.124147,53.134973,T,Jednorodzinna,SUCHE,worek,,,
