Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5723,10486/2017,2017-06-19 14:00:14,2017-06-19 14:05:04,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"25,18","17,9",PZ,7.28
5724,10487/2017,2017-06-19 14:10:19,2017-06-19 14:17:14,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"21,06","15,78",PZ,5.28
5725,10488/2017,2017-06-19 14:18:43,2017-06-19 14:25:48,BI 8893U,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"17,18","10,74",PZ,6.44
5726,10489/2017,2017-06-19 14:19:16,2017-06-19 14:24:15,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"26,5","15,04",PZ,11.46
5727,10490/2017,2017-06-19 14:38:08,2017-06-19 14:44:21,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"22,48","13,82",PZ,8.66
5728,10492/2017,2017-06-19 14:59:26,2017-06-19 15:05:42,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"25,1","13,8",PZ,11.3
5729,10494/2017,2017-06-19 16:20:59,2017-06-19 16:29:27,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"22,34","14,44",PZ,7.9
5730,10495/2017,2017-06-19 16:24:41,2017-06-19 16:31:46,1026,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"28,5","16,2",PZ,12.3
5731,10496/2017,2017-06-19 16:30:24,2017-06-19 16:36:57,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"21,86","13,82",PZ,8.04
5732,10499/2017,2017-06-19 18:29:43,2017-06-19 18:37:06,1012,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"22,86","13,94",PZ,8.92
5733,10500/2017,2017-06-19 19:06:51,2017-06-19 19:26:45,BI 3768V,Zakład Gospodarowania Odpadami Sp. z o.o.,19 12 12,Łomża,"35,72","14,98",PZ,20.74
5734,10521/2017,2017-06-20 06:29:12,2017-06-20 06:36:34,247,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"6,6","6,26",PZ,0.34
