Lp.,KWIT NR,DATA 1 WAŻENIA,DATA 2 WAŻENIA,POJAZD/ WAGON,KONTRAHENT,PRODUKT,POCHODZENIE,"WAŻENIE 1(BRUTTO)","WAŻENIE 2(TARA)",TYP WAŻENIA,NETTO
5627,10335/2017,2017-06-16 11:44:32,2017-06-16 11:51:45,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"29,82","15,78",PZ,14.04
5628,10336/2017,2017-06-16 11:45:23,2017-06-16 12:11:11,BMN  08793,BIOM Sp. z o.o.,19 12 12,KOSZARÓWKA,"38,74","15,56",PZ,23.18
5629,10337/2017,2017-06-16 11:47:05,2017-06-16 11:59:53,BI 4792J,MPO Sp. z o.o.,20 03 01,MICHAŁOWO,"35,08","16,74",PZ,18.34
5630,10338/2017,2017-06-16 12:29:48,2017-06-16 12:36:06,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"23,84","15,76",PZ,8.08
5631,10339/2017,2017-06-16 12:54:45,2017-06-16 13:01:27,BI 3655W,"P.U.H.P. ""LECH"" Sp. z o.o. Zakład Utylizacji Odpadów Komunalnych w Hryniewiczach",19 12 12,JUCHNOWIEC KOŚCIELNY,"25,86","13,88",PZ,11.98
5632,10340/2017,2017-06-16 12:56:42,2017-06-16 13:15:05,BHA 23UC,Przedsiębiorstwo Usług Komunalnych Sp. z o.o,19 12 12,HAJNÓWKA,"35,32","15,64",PZ,19.68
5633,10341/2017,2017-06-16 13:03:55,2017-06-16 13:09:38,1020,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"26,1","18,18",PZ,7.92
5634,10342/2017,2017-06-16 13:16:03,2017-06-16 13:21:02,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"20,14","16,62",PZ,3.52
5635,10344/2017,2017-06-16 13:35:35,2017-06-16 14:13:56,277,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,23,"17,2",PZ,5.8
5636,10345/2017,2017-06-16 13:38:06,2017-06-16 13:41:46,007,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"23,92","15,18",PZ,8.74
5637,10346/2017,2017-06-16 13:41:58,2017-06-16 13:55:46,05,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"22,7","13,8",PZ,8.9
5638,10348/2017,2017-06-16 14:07:35,2017-06-16 14:12:49,03,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 2,"26,6","13,9",PZ,12.7
5639,10349/2017,2017-06-16 14:31:55,2017-06-16 14:37:33,067,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,3","15,26",PZ,9.04
5640,10350/2017,2017-06-16 14:55:55,2017-06-16 15:01:51,P02,Urząd Miejski w Czarnej Białostockiej,20 03 01,Czarna Białostocka,"4,3","3,78",PZ,0.52
5641,10351/2017,2017-06-16 15:03:20,2017-06-16 15:11:01,1026,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"30,82","16,2",PZ,14.62
5642,10352/2017,2017-06-16 15:08:01,2017-06-16 15:15:22,758,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 1,"27,54","16,34",PZ,11.2
5643,10353/2017,2017-06-16 15:08:35,2017-06-16 15:14:36,267,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"27,4","14,94",PZ,12.46
5644,10354/2017,2017-06-16 15:19:03,2017-06-16 15:25:02,09,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 5,"17,98","12,24",PZ,5.74
5645,10355/2017,2017-06-16 15:29:33,2017-06-16 15:57:06,BMN  08793,BIOM Sp. z o.o.,19 12 12,KOSZARÓWKA,"39,42","15,5",PZ,23.92
5646,10356/2017,2017-06-16 15:30:54,2017-06-16 15:37:49,911,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"25,98","15,76",PZ,10.22
5647,10357/2017,2017-06-16 15:58:18,2017-06-16 16:07:07,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"25,28","14,46",PZ,10.82
5648,10358/2017,2017-06-16 17:09:18,2017-06-16 17:16:04,908,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"16,34","14,44",PZ,1.9
5649,10359/2017,2017-06-16 17:12:59,2017-06-16 17:22:31,577,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"22,9","16,74",PZ,6.16
5650,10360/2017,2017-06-16 17:15:02,2017-06-16 17:20:44,758,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"20,26","16,3",PZ,3.96
5651,10361/2017,2017-06-16 17:16:03,2017-06-16 17:23:00,920,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"20,06","15,72",PZ,4.34
5652,10362/2017,2017-06-16 17:22:30,2017-06-16 17:29:04,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 3,"8,76","7,88",PZ,0.88
5653,10363/2017,2017-06-16 17:32:31,2017-06-16 17:39:46,1006,MPO Sp. z o.o.,20 03 01,CHOROSZCZ,"26,18","15,2",PZ,10.98
5654,10364/2017,2017-06-16 17:34:28,2017-06-16 17:41:09,907,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"26,2","15,12",PZ,11.08
5655,10365/2017,2017-06-16 18:23:22,2017-06-16 18:28:29,096,Miasto Białystok- Urząd Miejski w Białymstoku (gm. Czarna Białostocka),20 03 01,Czarna Białostocka,"15,4","12,4",PZ,3
5656,10385/2017,2017-06-17 06:39:30,2017-06-17 06:48:26,777,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,76","7,14",PZ,0.62
5657,10386/2017,2017-06-17 06:52:11,2017-06-17 06:55:54,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,2","6,72",PZ,0.48
5658,10387/2017,2017-06-17 07:20:19,2017-06-17 07:25:44,720,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"8,5","7,58",PZ,0.92
5659,10388/2017,2017-06-17 07:46:32,2017-06-17 07:50:57,652,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 4,"7,24","6,58",PZ,0.66
5660,10390/2017,2017-06-17 07:58:56,2017-06-17 08:03:26,077,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"22,78","15,72",PZ,7.06
5661,10391/2017,2017-06-17 09:23:18,2017-06-17 09:28:48,237,Miasto Białystok- Urząd Miejski w Białymstoku,20 03 01,SEKTOR 6,"24,36","15,72",PZ,8.64
